event_all,year
"The first African slaves in what would become the present day United States of America arrived on August 9, 1526 in Winyah Bay, South Carolina. Spaniard Lucas Vázquez de Ayllón led around six hundred settlers, including an unknown number of slaves there, in an attempt to start a colony. The attempt failed after a month and Ayllón moved the colony, including the slaves, to what is now the state of Georgia.[1][2] This colony also failed but slavery would continue in Georgia until 1865.[3]",1526
The Spanish colony of St. Augustine in Florida became the first permanent European settlement in what would become the US centuries later; it included an unknown number of African slaves.[citation needed],1565
"The first record of Africans in English colonial America when men were brought at first to Fort Monroe off the coast of Hampton, Virginia, and then to the Jamestown colony who had been taken as prizes from a Spanish ship. They were treated as indentured servants, and at least one was recorded as eventually owning land in the colony.",1619
"John Punch, a black indentured servant, ran away with two white indentured servants, James, Gregory, and Victor. After the three were captured, Punch was sentenced to serve Virginia planter Hugh Gwyn for life. This made John Punch the first legally documented slave in Virginia (and the US).[4][5][6][7][8]",1640
"John Casor, a black man who claimed to have completed his term of indenture, became the first legally recognized slave-for-life in a civil case in the Virginia colony. The court ruled with his master who said he had an indefinite servitude for life.[9]",1654
"Virginia law, using the principle of partus sequitur ventrem, said that children in the colony were born into their mother's social status; therefore children born to enslaved mothers were classified as slaves, regardless of their father's race or status. This was contrary to English common law for English subjects, which held that children took their father's social status.",1662
September 20 - Maryland passes the first law in the U.S. banning interracial marriage.[10],1664
"Royal African Company is founded in England, allowing slaves to be shipped from Africa to the colonies in North America and the Caribbean. England entered the slave trade.",1672
Both free and enslaved African Americans fought in Bacon's Rebellion along with English colonists.[11],1676
"French king Louis XIV issues the Code Noir (""Black Code"")[12]",1685
"The Virginia Slave codes define as slaves all those servants brought into the colony who were not Christian in their original countries, as well as those American Indians sold by other Indians to colonists.",1705
April 6 – The New York Slave Revolt of 1712.[13],1712
"September 9 – In the Stono Rebellion, South Carolina slaves gather at the Stono River to plan an armed march for freedom.[14]",1739
"Benjamin Banneker designed and built the first clock in the British American colonies. He also created a series of almanacs. He corresponded with Thomas Jefferson and wrote that ""blacks were intellectually equal to whites"". Banneker worked with Pierre L'Enfant to survey and design a street and urban plan for Washington, D.C.[15]",1753
"Jupiter Hammon has a poem printed, becoming the first published African-American poet.",1760
1765–1767,1760
"Non-Importation Agreements – The First Continental Congress creates a multi-colony agreement to forbid importation of anything from British merchants. This implicitly includes slaves, and stops the slave trade in Philadelphia. The second similar act explicitly stops the slave trade.[16]",1760
"March 5 – Crispus Attucks is killed by British soldiers in the Boston Massacre, a precursor to the American Revolution.",1770
"Phillis Wheatley has her book Poems on Various Subjects, Religious and Moral published.",1773
"The first black Baptist congregations are organized in the South: Silver Bluff Baptist Church in South Carolina, and First African Baptist Church near Petersburg, Virginia.",1774
"April 14 – The Society for the Relief of Free Negroes Unlawfully Held in Bondage holds four meetings. It was re-formed in 1784 as the Pennsylvania Abolition Society, and Benjamin Franklin would later be its president.",1775
"Thomas Paine publishes one of the earliest and most influential anti-slavery essays in the U.S., called ""African Slavery in America.""[10]",1775
1776–1783 American Revolution,1775
