year,title,abstract
2021,Valdivia: Intercultural Relations along the Southern Frontier of the Spanish Empire in America during the Colonial Period (1552–1820),"This article presents a synthesis of regional archaeological investigations in the city and region of Valdivia during the colonial period (1550–1820). Previous studies have traditionally been centered on Hispanic mindsets and the role of conflict, the frontier status of colonial society in southern Chile, and the dispersed character of indigenous settlement. Here local sequences of material culture are reconsidered together with previous conceptual frameworks proposed by historical and anthropological research. Our research is based on new field surveys, the study of standing buildings, and assemblages of finds. These have been linked to different types of sites, including urban centers, fortifications, and mission posts. The results allow us to investigate the intercultural character of local society, settlement patterns, and the role of Valdivia in the context of the Peruvian viceroyalty and the Spanish Empire as a whole. Conclusions reveal the specific colonial processes that characterized the region and the sequence of founding, abandonment, and refounding of the urban center of Valdivia, which, in turn, impacted patterns of indigenous settlement and provoked technological hybridization in local ceramic industries. These changes can be linked to the emergence of an intercultural society, the definition of which proves more complex than that accepted by current binary categories."
2021,"The ca. 1638 Waterman Site, Marshfield, Massachusetts: The Anatomy of a Pilgrim House","The excavation and reconstruction of the ca. 1638 Waterman site is providing the first comprehensive and detailed look at the architecture and household material culture of an early period Pilgrim house in Plymouth Colony. The small vernacular house was of earth-fast, post-in-ground, and palisaded-wall construction, and burned down in a catastrophic fire after only a short period of occupation. The archaeological features, artifact patterns, and historical documents are integrated with 17th-century anthropomorphic architectural metaphors to reconstruct the house’s architecture and the various domestic activities that occurred within and around the house, including foodways, expressions of gender roles, environmental adaptation, and English and Native American cultural exchange."
2021,The First Cathedral on America’s Pacific Coast,"New research dispels the idea that Panamá Viejo was initially founded one-half mile from the site of its visible present-day ruins. The archaeological and historical evidence, subjected to interdisciplinary analysis, demonstrates that the city remained on the same main plaza next to its natural port from its founding 500 years ago until its destruction in 1671. The data reconsidered and newly uncovered also suggest reasons for previous misinterpretations of the city’s early foundational history. Unlike many colonial cities and towns, Panamá Viejo did not move during its first century of existence. However, its main church, which became the bishopric’s cathedral in 1524, did relocate after 1541. The new evidence establishes and confirms the original location of the first cathedral on America’s Pacific Ocean to the south of Panamá Viejo’s main plaza and explains its move to an elevated, rocky area on the eastern side of the same plaza over 20 years later. Excavations undertaken in 2018 have confirmed the original building’s location a mere 50 m from the visible ruins of the cathedral, the tower of which remains a symbol of Panamanian identity today."
2021,The Archaeology of Z: Household Economies in Nineteenth-Century Iceland,"A substantial and rapid increase in consumer goods has been detected in the archaeological record from Iceland during the 19th century. This article considers the impact of this change on household routines. Drawing inspiration from economics and Becker’s concept of Z commodities, the analysis seeks to blur the distinction between consumption and production by comparing the demands made on household resources by two different sets of tasks: firstly, those presented by the introduction of new materials related to coffee, and, secondly, those required by the traditional materials of butter production. The article illustrates the ways everyday routines are altered with the introduction of new materials and suggests that the productive work involved in consumption may be a key factor in how people and materials become entangled and mutually dependent."
2021,A Land of Plenty? Colonial Diet in Rural New Zealand,"Colonial New Zealand was built on the ideal of creating better lives for settlers. Emigrants came looking to escape the shackles of the class system and poor conditions in Industrial Revolution–period Britain. Colonial propaganda claimed that most emigrants achieved their aims, but the lives the colonists actually experienced upon reaching New Zealand remain relatively unexplored from a biosocial perspective. In this article we present a pilot study of stable-isotope test results of bone collagen from seven adults interred in St. John’s Cemetery, Milton, New Zealand (ca. 1860–1900). We interpret the diet at Milton and broadly compare our isotopic results with contemporaneous samples from Britain. We show that, as in contemporary Britain, the diet of our studied individuals was focused on C3 crops and terrestrial meat sources. Despite higher δ15N values in contemporary UK populations (which can be simplistically interpreted as indicative of higher meat intake), consideration of different local baselines makes it likely that this New Zealand population had relatively similar levels of meat intake. Interestingly, marine resources did not form an important part of the Milton diet, despite the site’s proximity to the ocean, hinting at the possible stigmatization of local resources and the development of a European New Zealand (pākehā) food identity."
2021,A Body Is Worth a Thousand Words: Early Colonial Dress-Scapes in Guam,"This article explores how dress became a fundamental “civilizing” item in the 17th-century Jesuit missionization of Guam, a small island in the western Pacific that was then inhabited by oral societies with low levels of socioeconomic complexity. The article analyzes the multiple dimensions of changing corporeal habits for native CHamoru people, and, most specifically, the interrelationships that arose from the construction of new selves, values, material culture, landscapes, labor, and technology in the configuration of new colonial “dress-scapes.” Forcible transition to dress and to alphabetic culture arrived at the island together as part of disciplinary processes that sought to “convert” CHamoru people to new lifeways and modes of being. Such processes were part of an engendered colonial transmodernity that initiated/accelerated a trend toward both similar understandings of the body and the ways it should be materially constituted and displayed."
2021,Reverse Engineering a Bronze Cannon from the La Belle Shipwreck,"The goal of this project was to scan and reverse engineer one of three bronze cannons (41MG86 - 11900-1) recovered from the La Belle excavation, which is currently on exhibit at the Bullock Texas State History Museum in Austin, Texas. A freeform computer aided design (CAD) model was generated based upon the topology of the three-dimensional (3-D) mesh in Geomagic Design X with a desired maximum deviation of 0.1 mm between the model and the mesh. Deviations were calculated in Geomagic Control X using the surface model as the reference data, and the mesh as the measured data. A custom patch network was subsequently designed using a series of iterative revisions until the whole of the surface model met with the specified tolerance. The 3-D surface model of the cannon will be replicated in a variety of media at variable scales for use in exhibits and for educational and promotional material for the Texas Historical Commission, the Republic of France, and their partner museums."
2021,Introduction: Studying Under-Floor Church Burials in Finland––Challenges in Stewarding the Past for the Future,"Two ongoing projects at the University of Oulu, Finland, are studying burials situated below the floorboards of Finnish churches. The projects examine mortality and materiality in Finland using an exceptionally well-preserved assemblage of mummified human remains. Multidisciplinary research methods, including CT scanning, μCT scanning, sampling for DNA and isotope analysis, and insect and plant samples, are providing multifaceted information concerning past societies. The samples provide rich insight into the material dimensions of mortality in northern Europe in the 18th and 19th centuries. Since the studied material is located under the floors of church buildings that are still in use by congregations, obtaining permits for research and sampling has required managing relationships with separate parishes. This article outlines the projects and examines the ethical and legal dimensions of research on human remains conducted in partnership with individual parishes."
2021,Nikolaus Rungius: Lifestyle and Status of an Early Seventeenth-Century Northern Finnish Vicar,"Vicar Nikolaus Rungius’s (ca. 1560–1629) mummified remains have been the subject of research that has provided a wide variety of information on his life. This article examines the ways Rungius’s health and lifestyle highlight his status as a vicar, and this status is visible in his burial and funerary clothing. He was a relatively large man for his time. CT scans even include indications of certain conditions related to being overweight. Likewise, stable-isotope analyses of his nail keratin support the hypothesis that he was consuming a rather heavy, protein-rich diet. Given his status as the vicar of Kemi parish in northern Finland, he likely made sumptuous use of the rich local natural resources of fish, game, and domestic animals as part of his regular diet. In addition to his diet and health, the vicar’s high-quality clothes, while fragmentary, also open an avenue to extend the exploration of his social status and wealth."
2021,"Newborns, Infants, and Adolescents in Postmedieval Northern Finland: A Case Study from Keminmaa","Four coffins dating from the period between the mid-18th and mid-19th centuries from Keminmaa in northern Ostrobothnian Finland were examined using computed-tomography (CT) scanning, a methodology with research applications for exploring human remains, coffins, and funerary textiles. The age and, in two cases, sex of the remains were estimated, and both historical sources and archaeological material suggest that socialization through gender was apparent in this collection. This article explores both the material testimony of care, dedication, and innocence of newborn and infant burials, as well as the socialization process and role of women adolescents in providing children’s funerary materials."
2021,Textiles: Decay and Preservation in Seventeenth- to Nineteenth-Century Burials in Finland,"The taphonomy of human remains and associated funerary textiles are inevitably linked. The interplay among burial clothes, human remains, insects, rodents, and preservation is explored through study of a group of postmedieval burials in Finland. These burials have been either archaeologically excavated or inventoried beneath wooden church floors. Decay and preserving factors for various conditions are studied, allowing in-depth study of individual garments and identification of the burial season. In addition, research has revealed different factors that have an effect on future preservation of the burials under church floors."
